sku,name,brand,category,price,list_price,available,image_url,product_url,store,description,scraped_at
3677406,Panque de Orno con Zanahoria 320g,De Orno,congelados,109.0,109.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58693145/7503030127042_00.jpg?v=638990899542070000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/panque-de-orno-con-zanahoria-320g-3677406/p,Chedraui,"Panque De Orno con Zanahoria 320g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257306
3677404,Panque de Orno con Elote 200g,De Orno,congelados,79.0,79.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57660457/7503030127240_00.jpg?v=638978821541370000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/panque-de-orno-con-elote-200g-3677404/p,Chedraui,"Panque De Orno con Elote 200g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257308
3530279,Paleta Cometta SanMy grosella maracuyá 12 Piezas 60ml c/u,Sanmy,congelados,105.0,105.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58433275/7502005510209_00.jpg?v=638986060786900000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-cometta-sanmy-grosella-maracuya-12-piezas-60ml-cu-3530279/p,Chedraui,"COMETTA paleta  helada de agua SanMy grosella multipack con 12 pzas.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257311
3530277,Paleta Kraion SanMy 12 Piezas 60 ml c/u,Sanmy,congelados,135.0,135.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58433271/7502005511732_00.jpg?v=638986060776270000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-kraion-sanmy-12-piezas-60-ml-cu-3530277/p,Chedraui,"KRAION Paleta helada  SanMy sabor frambuesa .
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257313
3334302,Muffins Thomas Natural 340g,Thomas,congelados,62.0,62.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57730859/48121102081_00.jpg?v=638979003227900000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/muffins-thomas-natural-340g-3334302/p,Chedraui,"Pan Premium de estilo de ingles con una textura única, que es crujiente por fuera y suaves por dentro
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257315
3278774,Paleta SanMy Máxima Chocolate Nuez 3 Paletas de 120ml c/u,Sanmy,congelados,102.0,102.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57731532/7502005513453_00.jpg?v=638979005158700000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-sanmy-maxima-chocolate-nuez-3-paletas-de-120ml-cu-3278774/p,Chedraui,"MAXIMA Paleta de crema  de leche sabor nuez  con chocolate y nuez multipack 3 pzas.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257317
3130047,Waffle Eggo Blueberry 349g,Kellogg's,congelados,108.0,108.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58691910/38000403200_00.jpg?v=638990896180800000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/waffle-eggo-blueberry-349g-3130047/p,Chedraui,"Eggo waffle blueberry
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257320
3105407,Paleta Magnum Clásica Vainilla 90ml,Magnum,congelados,39.0,45.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58709150/7506306415799_00.jpg?v=638990939662130000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-magnum-clasica-vainilla-90ml-3105407/p,Chedraui,"Descubre la sublime combinación del helado sabor vainilla exquisitamente cubierto con chocolate en nuestra Paleta Helada Magnum Clásica y sumérgete en un mundo de sabores y texturas irresistibles mientras disfrutas de su placer indescriptible. <div><br><b>Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257322
3105406,Paleta Helada Magnum Almendras 90ml,Magnum,congelados,41.0,42.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/58709159/7506306415775_00.jpg?v=638990939684170000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-helada-magnum-almendras-90ml-3105406/p,Chedraui,"Descubre la sublime combinación del helado sabor vainilla exquisitamente cubierto con chocolate y trocitos de almendras en nuestra Paleta Helada Magnum Almendras y sumérgete en el placer indescriptible que proporciona cada bocado. <div><br><b>Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257324
3101112,English Muffins New York Deli 368g,New York,congelados,76.0,76.0,True,https://chedrauimx.vteximg.com.br/arquivos/ids/57654606/7501290102007_00.jpg?v=638978806222400000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/english-muffins-new-york-deli-368g-3101112/p,Chedraui,"Bisquets New York Deli 368g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257327
3785331,Paleta Holanda Mini Almendra 385ml,Holanda,congelados,120.0,120.0,False,https://chedrauimx.vteximg.com.br/arquivos/ids/57773827/7506306416987_00.jpg?v=638979106744370000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/paleta-holanda-mini-almendra-385ml-3785331/p,Chedraui,"Paleta de grasa vegetal sabor vainilla cubierta de chocolate con leche y almendra, con 7 piezas.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso.</b></div>",2025-11-18T16:18:51.257329
